id_estate,estate_name,long_lat,lon,lat,precise,confidence,comprehension
37000,哈尔滨市道外区汇龙鑫阁,"(126.6930014874033, 45.79393953093391)",126.6930014874033,45.79393953093391,1,70,100
37001,哈尔滨市南岗区汉元街,"(126.63650795218595, 45.73983243326745)",126.63650795218595,45.73983243326745,0,30,100
37002,哈尔滨市南岗区汉兴街,"(126.6338759170417, 45.73897468916837)",126.6338759170417,45.73897468916837,0,30,100
37003,哈尔滨市南岗区汉广街,"(126.63097456990555, 45.74143591870786)",126.63097456990555,45.74143591870786,0,30,100
37004,哈尔滨市南岗区汉林美苑,"(126.62936291999009, 45.738542100815664)",126.62936291999009,45.738542100815664,1,70,100
37005,哈尔滨市香坊区汉水嘉园,"(126.70605278849675, 45.749987100101485)",126.70605278849675,45.749987100101485,1,70,100
37006,哈尔滨市香坊区汉水路,"(126.70624763096187, 45.75058676167022)",126.70624763096187,45.75058676167022,0,30,100
37007,哈尔滨市南岗区汉祥家园,"(126.62438496000651, 45.74855889207032)",126.62438496000651,45.74855889207032,1,70,100
37008,哈尔滨市南岗区汉祥街,"(126.62859594674566, 45.74517561109152)",126.62859594674566,45.74517561109152,0,30,100
37009,哈尔滨市南岗区汉祥街东区,"(126.65294379894935, 45.72597317222598)",126.65294379894935,45.72597317222598,1,70,100
37010,哈尔滨市南岗区汉阳街,"(126.62965181504211, 45.74618703832075)",126.62965181504211,45.74618703832075,0,30,100
37011,哈尔滨市松北区江北运华广场,"(126.51778008072858, 45.83225445878722)",126.51778008072858,45.83225445878722,1,70,100
37012,哈尔滨市南岗区江南国际大厦,"(126.65045234861742, 45.76760947598879)",126.65045234861742,45.76760947598879,1,75,100
37013,哈尔滨市道外区江南明珠,"(126.65518075933034, 45.79707659237841)",126.65518075933034,45.79707659237841,1,70,100
37014,哈尔滨市南岗区江城之珠,"(126.6372286626966, 45.744123848095676)",126.6372286626966,45.744123848095676,1,70,100
37015,哈尔滨市道外区江尚逸品,"(126.68174401258274, 45.80095183249414)",126.68174401258274,45.80095183249414,1,70,100
37016,哈尔滨市道里区江桥胡同,"(126.63338373545277, 45.788027507452306)",126.63338373545277,45.788027507452306,0,30,100
37017,哈尔滨市道外区江畔方元,"(126.66201641510854, 45.800132985754665)",126.66201641510854,45.800132985754665,1,70,100
37018,哈尔滨市呼兰区江霆华府,"(126.61701481244985, 45.9009653433906)",126.61701481244985,45.9009653433906,1,70,100
37019,哈尔滨市阿城区汽车公司家属楼,"(126.99044885702182, 45.55141913705678)",126.99044885702182,45.55141913705678,0,50,100
37020,哈尔滨市道外区沃华水岸,"(126.68816986138731, 45.79492700620704)",126.68816986138731,45.79492700620704,1,70,100
37021,哈尔滨市南岗区沈阳街,"(126.65311393801296, 45.75700339478507)",126.65311393801296,45.75700339478507,0,30,100
37022,哈尔滨市南岗区沙曼小区一街区,"(126.61996161384481, 45.733950996360846)",126.61996161384481,45.733950996360846,1,70,100
37023,哈尔滨市南岗区沙曼小区三街区,"(126.6259214217508, 45.733274908204265)",126.6259214217508,45.733274908204265,0,50,100
37024,哈尔滨市南岗区沙曼小区二街区,"(126.6226241913764, 45.734032778123236)",126.6226241913764,45.734032778123236,1,70,100
37025,哈尔滨市南岗区沙曼小区五街区,"(126.62424994468837, 45.73059456883503)",126.62424994468837,45.73059456883503,1,70,100
37026,哈尔滨市南岗区沙曼小区六街区,"(126.62694513070997, 45.73083829287497)",126.62694513070997,45.73083829287497,0,50,100
37027,哈尔滨市南岗区沙曼小区四街区,"(126.62855183994512, 45.731684335389666)",126.62855183994512,45.731684335389666,0,50,100
37028,哈尔滨市道里区河广街,"(126.61014008038195, 45.76079278047134)",126.61014008038195,45.76079278047134,0,30,100
37029,哈尔滨市道里区河政花园（公务员小区）,"(126.60059100298028, 45.75898587009698)",126.60059100298028,45.75898587009698,1,70,100
37030,哈尔滨市道里区河曲街,"(126.59946731261783, 45.76357138130134)",126.59946731261783,45.76357138130134,0,30,100
37031,哈尔滨市道里区河松小区一期,"(126.58581621293537, 45.75553493268977)",126.58581621293537,45.75553493268977,1,70,100
37032,哈尔滨市道里区河松小区三期,"(126.59175895303667, 45.75406850694357)",126.59175895303667,45.75406850694357,1,70,100
37033,哈尔滨市道里区河松小区二期,"(126.58713133220199, 45.75340612180978)",126.58713133220199,45.75340612180978,1,70,100
37034,哈尔滨市道里区河柏小区,"(126.5871960101987, 45.74971490758196)",126.5871960101987,45.74971490758196,1,70,100
37035,哈尔滨市道里区河梁小区,"(126.59687695884925, 45.75993492039341)",126.59687695884925,45.75993492039341,1,70,100
37036,哈尔滨市道里区河梁街,"(126.59777023384838, 45.76169256666781)",126.59777023384838,45.76169256666781,0,30,100
37037,哈尔滨市道里区河江小区,"(126.60468170661164, 45.762006765297066)",126.60468170661164,45.762006765297066,1,70,100
37038,哈尔滨市道里区河江街,"(126.60819632691945, 45.76197425773683)",126.60819632691945,45.76197425773683,0,30,100
37039,哈尔滨市南岗区河沟街,"(126.65653199047844, 45.761060391365184)",126.65653199047844,45.761060391365184,0,30,100
37040,哈尔滨市道里区河洲街,"(126.59852499013786, 45.764072056639236)",126.59852499013786,45.764072056639236,0,30,100
37041,哈尔滨市道里区河润街,"(126.60408630971962, 45.763868404363215)",126.60408630971962,45.763868404363215,0,30,100
37042,哈尔滨市道里区河清街,"(126.60147394746605, 45.76287238996997)",126.60147394746605,45.76287238996997,0,30,100
37043,哈尔滨市南岗区河渠街,"(126.66200150323708, 45.76728135169713)",126.66200150323708,45.76728135169713,0,30,100
37044,哈尔滨市道里区河源小区,"(126.59265600091894, 45.75832970609791)",126.59265600091894,45.75832970609791,1,70,100
37045,哈尔滨市香坊区河畔花园小区,"(126.72925305541145, 45.72903845934254)",126.72925305541145,45.72903845934254,1,70,100
37046,哈尔滨市南岗区河苑观景花园,"(126.65786283009149, 45.7618478113202)",126.65786283009149,45.7618478113202,1,70,100
37047,哈尔滨市道里区河阳街,"(126.60743905537453, 45.76150581979051)",126.60743905537453,45.76150581979051,0,30,100
37048,哈尔滨市道里区河鼓小区,"(126.59925827692567, 45.760617726029736)",126.59925827692567,45.760617726029736,1,70,100
37049,哈尔滨市道里区河鼓街,"(126.59903828190627, 45.7618190134386)",126.59903828190627,45.7618190134386,0,30,100
37050,哈尔滨市阿城区沿江国际小区,"(126.99482827604409, 45.54312612095277)",126.99482827604409,45.54312612095277,1,70,100
37051,哈尔滨市道外区沿江小区,"(126.66221269486248, 45.8010706497186)",126.66221269486248,45.8010706497186,1,70,100
37052,哈尔滨市南岗区沿河路,"(126.67966425566603, 45.7735951556396)",126.67966425566603,45.7735951556396,0,30,100
37053,哈尔滨市呼兰区泓林金色地标,"(126.55826904565787, 45.87883774932586)",126.55826904565787,45.87883774932586,0,50,100
37054,哈尔滨市南岗区法院街,"(126.6355265534163, 45.749725724870245)",126.6355265534163,45.749725724870245,0,30,100
37055,哈尔滨市道里区泰和盛世北区,"(126.5715343231238, 45.72373846365753)",126.5715343231238,45.72373846365753,1,70,100
37056,哈尔滨市呼兰区泰和轩,"(126.55130636948053, 45.87581343916838)",126.55130636948053,45.87581343916838,1,70,100
37057,哈尔滨市道外区泰富长安城一期,"(126.71247764916527, 45.778320387641784)",126.71247764916527,45.778320387641784,1,70,100
37058,哈尔滨市香坊区泰山家园,"(126.70552736960396, 45.743214530641644)",126.70552736960396,45.743214530641644,1,70,100
37059,哈尔滨市香坊区泰山领秀,"(126.70400824515603, 45.70185550041588)",126.70400824515603,45.70185550041588,1,70,100
37060,哈尔滨市南岗区泰海花园小区,"(126.70969451903423, 45.766080056936346)",126.70969451903423,45.766080056936346,0,50,100
37061,哈尔滨市道外区泰达小区,"(126.69967041767887, 45.79669692703603)",126.69967041767887,45.79669692703603,1,70,100
37062,哈尔滨市道外区泰鑫国典,"(0, 0)",0.0,0.0,0,0,0
37063,哈尔滨市南岗区洁净街,"(126.66745834988804, 45.7615595174419)",126.66745834988804,45.7615595174419,0,30,100
37064,哈尔滨市松北区浦江国际,"(126.64819643399021, 45.82367539878164)",126.64819643399021,45.82367539878164,1,70,100
